  iter       grad(x_k)           value       Step         x(1)       x(2)
     1      8.2462e+00      4.2000e+00     0.5000 | -1.0000e+00 8.0000e-01
     2      7.1726e+00      2.7654e+00     0.5000 | -3.3333e-01 -3.3333e-01
     3      2.3604e+00      1.2027e+00     0.5000 | -8.8435e-02 -5.2154e-02
     4      1.6447e+00      6.6604e-01     0.5000 | 2.5175e-01 -8.2336e-02
     5      9.3845e-01      2.3989e-01     0.5000 | 5.5627e-01 2.1671e-01
     6      6.6819e-01      5.9630e-02     0.5000 | 7.8650e-01 5.6558e-01
     7      2.8833e-01      7.3658e-03     0.5000 | 9.2604e-01 8.3807e-01
     8      6.4297e-02      2.1874e-04     0.5000 | 9.8795e-01 9.7221e-01
     9      2.2518e-03      2.8876e-07     0.5000 | 9.9956e-01 9.9898e-01
    10      3.3862e-06      5.5343e-13     0.5000 | 1.0000e+00 1.0000e+00
    11      5.9988e-12      2.0425e-24     0.5000 | 1.0000e+00 1.0000e+00
