  iter           grad(x_k)         value                  vector
S = [ -200.000 + -200.000i ]-----------------------------------------------------------------------------------------
--------------------------------------------------------
   12             110.0781            -110.0781     | 3.6114
   13             108.9575            -108.9575     | 3.7522
   14             107.8499            -107.8499     | 3.8868
   15             106.7548            -106.7548     | 4.0157
   16             105.6720            -105.6720     | 4.1395
   17             104.6011            -104.6011     | 4.2586
   18             103.5419            -103.5419     | 4.3734
   19             102.4942            -102.4942     | 4.4843
   20             101.4578            -101.4578     | 4.5915
   30              91.6766             -91.6766     | 5.5068
   40              82.8618             -82.8618     | 6.2227
   50              74.9061             -74.9061     | 6.8072
  100              45.2657             -45.2657     | 8.6553
  150              27.3721             -27.3721     | 9.6055
  200              16.5559             -16.5559     | 10.1381
  250              10.0149             -10.0149     | 10.4474
  300               6.0586              -6.0586     | 10.6302
  350               3.6653              -3.6653     | 10.7393
  400               2.2175              -2.2175     | 10.8048
  450               1.3416              -1.3416     | 10.8442
  500               0.8116              -0.8116     | 10.8680
  550               0.4910              -0.4910     | 10.8824
  600               0.2971              -0.2971     | 10.8911
  650               0.1797              -0.1797     | 10.8963
  700               0.1087              -0.1087     | 10.8995
  750               0.0658              -0.0658     | 10.9014
  800               0.0398              -0.0398     | 10.9026
  850               0.0241              -0.0241     | 10.9033
  900               0.0146              -0.0146     | 10.9037
  950               0.0088              -0.0088     | 10.9040
 1000               0.0053              -0.0053     | 10.9041
 1100               0.0020              -0.0020     | 10.9043
 1200               0.0007              -0.0007     | 10.9043
 1300               0.0003              -0.0003     | 10.9044
 1400               0.0001              -0.0001     | 10.9044
 1500               0.0000              -0.0000     | 10.9044
 1600               0.0000              -0.0000     | 10.9044
 1700               0.0000              -0.0000     | 10.9044
 1800               0.0000              -0.0000     | 10.9044
 1854               0.0000              -0.0000     | 10.9044
 e_min =    22.3706
--------------------------------------------------------
    1               4.9634              -4.9634     | 1.0000
    2               4.9132              -4.9132     | 1.0242
    3               4.8635              -4.8635     | 1.0476
    4               4.8144              -4.8144     | 1.0703
    5               4.7658              -4.7658     | 1.0922
    6               4.7177              -4.7177     | 1.1136
    7               4.6701              -4.6701     | 1.1343
    8               4.6229              -4.6229     | 1.1544
    9               4.5763              -4.5763     | 1.1740
   10               4.5302              -4.5302     | 1.1931
   11               4.4846              -4.4846     | 1.2117
   12               4.4394              -4.4394     | 1.2298
   13               4.3947              -4.3947     | 1.2475
   14               4.3504              -4.3504     | 1.2647
   15               4.3066              -4.3066     | 1.2816
   16               4.2633              -4.2633     | 1.2981
   17               4.2204              -4.2204     | 1.3142
   18               4.1780              -4.1780     | 1.3299
   19               4.1359              -4.1359     | 1.3453
   20               4.0944              -4.0944     | 1.3604
   30               3.7011              -3.7011     | 1.4957
   40               3.3460              -3.3460     | 1.6083
   50               3.0252              -3.0252     | 1.7037
  100               1.8287              -1.8287     | 2.0207
  150               1.1059              -1.1059     | 2.1903
  200               0.6690              -0.6690     | 2.2868
  250               0.4047              -0.4047     | 2.3433
  300               0.2448              -0.2448     | 2.3768
  350               0.1481              -0.1481     | 2.3969
  400               0.0896              -0.0896     | 2.4089
  450               0.0542              -0.0542     | 2.4162
  500               0.0328              -0.0328     | 2.4205
  550               0.0198              -0.0198     | 2.4232
  600               0.0120              -0.0120     | 2.4248
  650               0.0073              -0.0073     | 2.4258
  700               0.0044              -0.0044     | 2.4263
  750               0.0027              -0.0027     | 2.4267
  800               0.0016              -0.0016     | 2.4269
  850               0.0010              -0.0010     | 2.4270
  900               0.0006              -0.0006     | 2.4271
  950               0.0004              -0.0004     | 2.4272
 1000               0.0002              -0.0002     | 2.4272
 1100               0.0001              -0.0001     | 2.4272
 1200               0.0000              -0.0000     | 2.4272
 1300               0.0000              -0.0000     | 2.4272
 1400               0.0000              -0.0000     | 2.4272
 1500               0.0000              -0.0000     | 2.4272
 1535               0.0000              -0.0000     | 2.4272
 e_min =     4.9043
--------------------------------------------------------
    1               0.9778               0.9778     | 1.0000
    2               0.9680               0.9680     | 0.9951
    3               0.9583               0.9583     | 0.9902
    4               0.9488               0.9488     | 0.9854
    5               0.9393               0.9393     | 0.9806
    6               0.9299               0.9299     | 0.9758
    7               0.9207               0.9207     | 0.9710
    8               0.9115               0.9115     | 0.9663
    9               0.9024               0.9024     | 0.9616
   10               0.8934               0.8934     | 0.9569
   11               0.8845               0.8845     | 0.9522
   12               0.8757               0.8757     | 0.9476
   13               0.8669               0.8669     | 0.9430
   14               0.8583               0.8583     | 0.9384
   15               0.8497               0.8497     | 0.9338
   16               0.8412               0.8412     | 0.9292
   17               0.8328               0.8328     | 0.9247
   18               0.8245               0.8245     | 0.9202
   19               0.8163               0.8163     | 0.9157
   20               0.8082               0.8082     | 0.9113
   30               0.7311               0.7311     | 0.8680
   40               0.6613               0.6613     | 0.8268
   50               0.5982               0.5982     | 0.7878
  100               0.3624               0.3624     | 0.6203
  150               0.2195               0.2195     | 0.4918
  200               0.1329               0.1329     | 0.3942
  250               0.0805               0.0805     | 0.3209
  300               0.0488               0.0488     | 0.2669
  350               0.0295               0.0295     | 0.2281
  400               0.0179               0.0179     | 0.2009
  450               0.0108               0.0108     | 0.1826
  500               0.0065               0.0065     | 0.1705
  550               0.0040               0.0040     | 0.1627
  600               0.0024               0.0024     | 0.1578
  650               0.0015               0.0015     | 0.1548
  700               0.0009               0.0009     | 0.1530
  750               0.0005               0.0005     | 0.1518
  800               0.0003               0.0003     | 0.1511
  850               0.0002               0.0002     | 0.1507
  900               0.0001               0.0001     | 0.1504
  950               0.0001               0.0001     | 0.1503
 1000               0.0000               0.0000     | 0.1502
 1100               0.0000               0.0000     | 0.1501
 1200               0.0000               0.0000     | 0.1501
 1300               0.0000               0.0000     | 0.1501
 1375               0.0000               0.0000     | 0.1501
 e_min =     0.3004
--------------------------------------------------------
    1               1.0000               1.0000     | 1.0000
    2               0.9900               0.9900     | 0.9950
    3               0.9801               0.9801     | 0.9900
    4               0.9704               0.9704     | 0.9851
    5               0.9607               0.9607     | 0.9801
    6               0.9511               0.9511     | 0.9752
    7               0.9416               0.9416     | 0.9704
    8               0.9322               0.9322     | 0.9655
    9               0.9229               0.9229     | 0.9607
   10               0.9137               0.9137     | 0.9559
   11               0.9046               0.9046     | 0.9511
   12               0.8956               0.8956     | 0.9464
   13               0.8867               0.8867     | 0.9416
   14               0.8778               0.8778     | 0.9369
   15               0.8691               0.8691     | 0.9322
   16               0.8604               0.8604     | 0.9276
   17               0.8518               0.8518     | 0.9229
   18               0.8433               0.8433     | 0.9183
   19               0.8349               0.8349     | 0.9137
   20               0.8266               0.8266     | 0.9092
   30               0.7477               0.7477     | 0.8647
   40               0.6764               0.6764     | 0.8224
   50               0.6119               0.6119     | 0.7822
  100               0.3707               0.3707     | 0.6088
  150               0.2245               0.2245     | 0.4738
  200               0.1360               0.1360     | 0.3688
  250               0.0824               0.0824     | 0.2870
